Frequent Itemsets and Support
k=1
bread,55.0
honey,45.0
milk,45.0
butter,40.0
toothpaste,40.0
cereals,40.0
yogurt,25.0
brush,25.0
cheese,50.0
shampoo,50.0
gel,50.0
razor,35.0
soap,35.0
mouthwash,35.0
cheesse,5.0
cookies,30.0
chips,15.0
cerals,5.0
k=2
"bread, brush",10.0
"butter, cheese",25.0
"cheese, yogurt",20.0
"honey, cheese",30.0
"toothpaste, yogurt",10.0
"honey, brush",5.0
"bread, cereals",20.0
"cheese, cereals",15.0
"milk, cereals",30.0
"butter, brush",5.0
"honey, milk",30.0
"bread, honey",30.0
"butter, toothpaste",10.0
"milk, cheese",20.0
"toothpaste, brush",25.0
"honey, toothpaste",10.0
"milk, yogurt",10.0
"milk, butter",10.0
"yogurt, cereals",10.0
"bread, yogurt",10.0
"toothpaste, cereals",5.0
"bread, milk",25.0
"brush, cheese",10.0
"honey, butter",25.0
"milk, brush",10.0
"bread, toothpaste",20.0
"bread, cheese",35.0
"brush, yogurt",5.0
"honey, yogurt",15.0
"toothpaste, cheese",20.0
"milk, toothpaste",15.0
"bread, butter",35.0
"butter, cereals",15.0
"butter, yogurt",10.0
"brush, cereals",5.0
"honey, cereals",30.0
"shampoo, honey",20.0
"razor, honey",10.0
"shampoo, razor",20.0
"razor, milk",15.0
"razor, cheese",15.0
"honey, gel",20.0
"shampoo, gel",40.0
"razor, gel",25.0
"bread, razor",25.0
"cheese, gel",10.0
"shampoo, cheese",20.0
"gel, cereals",25.0
"razor, cereals",10.0
"shampoo, cereals",25.0
"bread, gel",25.0
"shampoo, milk",25.0
"bread, shampoo",20.0
"milk, gel",25.0
"soap, cereals",15.0
"shampoo, soap",25.0
"cheese, soap",15.0
"honey, soap",15.0
"milk, soap",10.0
"mouthwash, cheese",20.0
"mouthwash, toothpaste",30.0
"mouthwash, honey",5.0
"bread, mouthwash",20.0
"mouthwash, butter",10.0
"gel, soap",20.0
"bread, soap",15.0
"butter, gel",10.0
"butter, soap",15.0
"milk, cheesse",5.0
"shampoo, yogurt",10.0
"gel, yogurt",5.0
"cheesse, gel",5.0
"shampoo, cheesse",5.0
"cheesse, cereals",5.0
"cheesse, yogurt",5.0
"honey, cheesse",5.0
"razor, yogurt",5.0
"razor, butter",15.0
"butter, cookies",5.0
"cookies, cereals",10.0
"chips, cereals",5.0
"butter, chips",5.0
"cookies, chips",15.0
"cheese, chips",5.0
"cerals, yogurt",5.0
"cookies, cerals",5.0
"cheese, cookies",5.0
"cookies, yogurt",5.0
"cerals, chips",5.0
"chips, yogurt",5.0
"cheese, cerals",5.0
"toothpaste, gel",20.0
"shampoo, brush",15.0
"soap, chips",5.0
"toothpaste, chips",5.0
"brush, soap",5.0
"shampoo, chips",5.0
"brush, gel",20.0
"shampoo, toothpaste",20.0
"gel, chips",5.0
"brush, chips",5.0
"toothpaste, soap",10.0
"cookies, gel",15.0
"shampoo, cookies",10.0
"cookies, soap",5.0
"toothpaste, cookies",15.0
"brush, cookies",10.0
"razor, brush",10.0
"mouthwash, brush",15.0
"mouthwash, gel",15.0
"razor, toothpaste",10.0
"milk, cookies",15.0
"mouthwash, milk",10.0
"mouthwash, cookies",10.0
"razor, mouthwash",15.0
"razor, cookies",10.0
"razor, soap",10.0
"shampoo, butter",5.0
"shampoo, mouthwash",15.0
"mouthwash, yogurt",5.0
"mouthwash, soap",10.0
"soap, yogurt",5.0
"bread, cookies",10.0
k=3
"cheese, milk, yogurt",5.0
"honey, yogurt, cereals",10.0
"butter, milk, brush",5.0
"toothpaste, brush, yogurt",5.0
"butter, brush, yogurt",5.0
"honey, milk, cereals",25.0
"honey, butter, cereals",10.0
"bread, yogurt, cereals",5.0
"bread, milk, butter",10.0
"bread, brush, cheese",10.0
"honey, cheese, brush",5.0
"cheese, cereals, yogurt",5.0
"toothpaste, brush, cereals",5.0
"bread, butter, yogurt",10.0
"honey, cheese, milk",20.0
"bread, butter, cheese",25.0
"bread, honey, cheese",25.0
"cheese, toothpaste, cereals",5.0
"milk, brush, yogurt",5.0
"bread, cheese, cereals",10.0
"bread, milk, cereals",15.0
"cheese, brush, yogurt",5.0
"cheese, milk, cereals",15.0
"butter, brush, cheese",5.0
"bread, brush, butter",5.0
"toothpaste, milk, yogurt",5.0
"cheese, toothpaste, brush",10.0
"bread, brush, yogurt",5.0
"bread, honey, yogurt",10.0
"milk, butter, yogurt",5.0
"brush, yogurt, cereals",5.0
"honey, brush, cereals",5.0
"honey, milk, butter",10.0
"bread, toothpaste, cereals",5.0
"bread, honey, butter",25.0
"honey, milk, toothpaste",5.0
"honey, butter, toothpaste",10.0
"honey, cheese, cereals",15.0
"toothpaste, cereals, yogurt",5.0
"bread, butter, cereals",10.0
"bread, brush, cereals",5.0
"bread, honey, cereals",15.0
"bread, milk, cheese",15.0
"milk, butter, cereals",5.0
"toothpaste, butter, yogurt",5.0
"honey, butter, yogurt",10.0
"butter, brush, cereals",5.0
"milk, brush, cereals",5.0
"butter, cheese, cereals",5.0
"honey, toothpaste, yogurt",5.0
"butter, milk, cheese",10.0
"bread, honey, milk",15.0
"bread, toothpaste, cheese",15.0
"bread, milk, toothpaste",10.0
"milk, cheese, toothpaste",5.0
"butter, cheese, yogurt",10.0
"honey, brush, yogurt",5.0
"bread, toothpaste, yogurt",5.0
"milk, yogurt, cereals",10.0
"honey, brush, milk",5.0
"honey, brush, butter",5.0
"honey, toothpaste, cereals",5.0
"bread, brush, milk",5.0
"cheese, toothpaste, yogurt",10.0
"honey, milk, yogurt",10.0
"bread, cheese, yogurt",10.0
"bread, milk, yogurt",5.0
"honey, brush, toothpaste",5.0
"honey, cheese, yogurt",10.0
"milk, brush, cheese",5.0
"bread, honey, brush",5.0
"butter, toothpaste, cereals",5.0
"milk, toothpaste, cereals",5.0
"honey, cheese, toothpaste",10.0
"bread, butter, toothpaste",10.0
"bread, brush, toothpaste",10.0
"bread, honey, toothpaste",10.0
"butter, milk, toothpaste",5.0
"honey, butter, cheese",20.0
"butter, yogurt, cereals",5.0
"butter, brush, toothpaste",5.0
"toothpaste, milk, brush",10.0
"butter, cheese, toothpaste",10.0
"cheese, brush, cereals",5.0
"razor, honey, gel",5.0
"shampoo, cheese, cereals",10.0
"shampoo, bread, razor",15.0
"shampoo, gel, cereals",20.0
"shampoo, cheese, gel",10.0
"razor, honey, cereals",5.0
"shampoo, honey, cheese",10.0
"shampoo, milk, cereals",25.0
"shampoo, honey, razor",5.0
"razor, milk, cheese",5.0
"shampoo, bread, gel",20.0
"honey, milk, gel",15.0
"shampoo, honey, cereals",20.0
"razor, cheese, gel",5.0
"bread, gel, cereals",15.0
"bread, razor, cereals",10.0
"bread, honey, shampoo",5.0
"shampoo, milk, cheese",10.0
"bread, shampoo, cheese",10.0
"bread, milk, razor",10.0
"razor, honey, cheese",10.0
"razor, milk, cereals",10.0
"honey, cheese, gel",5.0
"razor, bread, gel",15.0
"razor, honey, milk",5.0
"bread, cheese, razor",15.0
"bread, shampoo, milk",10.0
"shampoo, razor, cereals",10.0
"bread, shampoo, cereals",10.0
"bread, honey, razor",10.0
"razor, milk, gel",15.0
"bread, honey, gel",10.0
"milk, gel, cheese",5.0
"shampoo, gel, razor",20.0
"cheese, gel, cereals",5.0
"milk, gel, cereals",20.0
"razor, cheese, cereals",5.0
"shampoo, honey, gel",15.0
"shampoo, honey, milk",20.0
"shampoo, cheese, razor",5.0
"honey, gel, cereals",20.0
"bread, milk, gel",10.0
"razor, gel, cereals",10.0
"bread, cheese, gel",10.0
"shampoo, milk, gel",20.0
"shampoo, milk, razor",10.0
"soap, milk, cheese",5.0
"shampoo, milk, soap",10.0
"shampoo, soap, cereals",10.0
"honey, soap, cereals",15.0
"honey, cheese, soap",5.0
"honey, milk, soap",10.0
"shampoo, honey, soap",10.0
"milk, soap, cereals",10.0
